x_18 = 1.067653e+00,	f(x_18) = 1.050739e+00,	e_18 = 6.765252e-02,	0.75e_18 = 5.073939e-02
x_19 = 1.050739e+00,	f(x_19) = 1.038055e+00,	e_19 = 5.073939e-02,	0.75e_19 = 3.805454e-02
x_20 = 1.038055e+00,	f(x_20) = 1.028541e+00,	e_20 = 3.805454e-02,	0.75e_20 = 2.854091e-02
x_21 = 1.028541e+00,	f(x_21) = 1.021406e+00,	e_21 = 2.854091e-02,	0.75e_21 = 2.140568e-02
x_22 = 1.021406e+00,	f(x_22) = 1.016054e+00,	e_22 = 2.140568e-02,	0.75e_22 = 1.605426e-02
x_23 = 1.016054e+00,	f(x_23) = 1.012041e+00,	e_23 = 1.605426e-02,	0.75e_23 = 1.204070e-02
x_24 = 1.012041e+00,	f(x_24) = 1.009031e+00,	e_24 = 1.204070e-02,	0.75e_24 = 9.030522e-03
x_25 = 1.009031e+00,	f(x_25) = 1.006773e+00,	e_25 = 9.030521e-03,	0.75e_25 = 6.772891e-03
x_26 = 1.006773e+00,	f(x_26) = 1.005080e+00,	e_26 = 6.772891e-03,	0.75e_26 = 5.079668e-03
x_27 = 1.005080e+00,	f(x_27) = 1.003810e+00,	e_27 = 5.079669e-03,	0.75e_27 = 3.809752e-03
x_28 = 1.003810e+00,	f(x_28) = 1.002857e+00,	e_28 = 3.809753e-03,	0.75e_28 = 2.857315e-03
x_29 = 1.002857e+00,	f(x_29) = 1.002143e+00,	e_29 = 2.857315e-03,	0.75e_29 = 2.142986e-03
x_30 = 1.002143e+00,	f(x_30) = 1.001607e+00,	e_30 = 2.142985e-03,	0.75e_30 = 1.607239e-03
x_31 = 1.001607e+00,	f(x_31) = 1.001205e+00,	e_31 = 1.607255e-03,	0.75e_31 = 1.205441e-03
x_32 = 1.001205e+00,	f(x_32) = 1.000904e+00,	e_32 = 1.205464e-03,	0.75e_32 = 9.040983e-04
x_33 = 1.000904e+00,	f(x_33) = 1.000678e+00,	e_33 = 9.040327e-04,	0.75e_33 = 6.780245e-04
x_34 = 1.000678e+00,	f(x_34) = 1.000509e+00,	e_34 = 6.783349e-04,	0.75e_34 = 5.087512e-04
x_35 = 1.000509e+00,	f(x_35) = 1.000379e+00,	e_35 = 5.090242e-04,	0.75e_35 = 3.817682e-04
x_36 = 1.000379e+00,	f(x_36) = 1.000286e+00,	e_36 = 3.793911e-04,	0.75e_36 = 2.845433e-04
x_37 = 1.000286e+00,	f(x_37) = 1.000210e+00,	e_37 = 2.858709e-04,	0.75e_37 = 2.144031e-04
x_38 = 1.000210e+00,	f(x_38) = 1.000150e+00,	e_38 = 2.098339e-04,	0.75e_38 = 1.573754e-04
x_39 = 1.000150e+00,	f(x_39) = 1.000150e+00,	e_39 = 1.497493e-04,	0.75e_39 = 1.123120e-04
Solved to result = 1.000150e+00, in 39 steps.

